"WEB BROWSERS  –  ENGINES","","","","",
"www.ranking.bg/en/ranking/web-browsers-engines.html","","","","",
"A ranking of web browsers engines that are used by persons connecting from Bulgaria with Bulgarian web sites. The ranking is based on the number of page views concerning sites included in the gemiusTraffic study.","","","","",
"","","","","",
"","Gecko","WebKit/KHTML","MSIE","Opera",
"06.07.2009","43.81","2.47","48.35","5.14",
"13.07.2009","44.14","2.56","47.87","5.20",
"20.07.2009","44.25","2.59","47.69","5.26",
"27.07.2009","44.42","2.64","47.45","5.27",
"03.08.2009","44.41","2.72","47.33","5.32",
"10.08.2009","44.92","2.82","46.70","5.33",
"17.08.2009","45.67","2.96","45.73","5.41",
"24.08.2009","45.91","3.09","45.26","5.51",
"31.08.2009","45.66","3.11","45.45","5.56",
"07.09.2009","45.32","3.15","45.72","5.59",
"14.09.2009","44.98","3.14","46.11","5.55",
"21.09.2009","45.77","3.24","45.09","5.68",
"28.09.2009","45.15","3.31","45.74","5.57",
"05.10.2009","45.29","3.40","45.52","5.57",
"12.10.2009","44.95","3.42","45.95","5.47",
"19.10.2009","45.22","3.53","45.52","5.52",
"26.10.2009","45.30","3.58","45.29","5.61",
"02.11.2009","45.81","3.73","44.56","5.69",
"09.11.2009","46.03","3.88","44.14","5.74",
"16.11.2009","45.76","3.89","44.49","5.65",
"23.11.2009","45.69","3.91","44.56","5.62",
"30.11.2009","45.67","4.03","44.45","5.63",
"07.12.2009","45.48","4.09","44.57","5.63",
"14.12.2009","45.51","4.21","44.46","5.60",
"21.12.2009","46.45","4.43","43.11","5.78",
"28.12.2009","46.99","4.62","42.33","5.84",
"04.01.2010","45.54","4.60","44.06","5.57",
"11.01.2010","45.48","4.72","43.96","5.61",
"18.01.2010","45.65","4.89","43.60","5.64",
"25.01.2010","45.91","5.13","43.03","5.70",
"01.02.2010","45.66","5.29","43.12","5.68",
"08.02.2010","45.38","5.45","43.23","5.68",
"15.02.2010","45.15","5.62","43.28","5.68",
"22.02.2010","45.51","5.82","42.68","5.72",
"01.03.2010","46.74","6.06","41.03","5.91",
"08.03.2010","46.49","6.18","41.17","5.91",
"15.03.2010","46.88","6.33","40.65","5.88",
"22.03.2010","46.77","6.45","40.69","5.83",
"29.03.2010","47.33","6.65","39.96","5.80",
"05.04.2010","47.46","6.86","39.62","5.81",
"12.04.2010","46.67","6.85","40.61","5.62",
"19.04.2010","46.65","6.95","40.52","5.63",
"26.04.2010","47.00","7.14","39.93","5.68",
"03.05.2010","48.40","7.53","37.92","5.90",
"10.05.2010","46.93","7.52","39.51","5.71",
"17.05.2010","47.00","7.79","39.11","5.74",
"24.05.2010","47.97","8.34","37.36","5.99",
"31.05.2010","47.50","8.31","37.97","5.88",
"07.06.2010","47.19","8.42","38.27","5.77",
"14.06.2010","47.31","8.72","37.86","5.77",
"21.06.2010","47.09","8.89","37.90","5.78",
"28.06.2010","47.17","9.15","37.48","5.83",
"05.07.2010","47.14","9.30","37.37","5.83",
"12.07.2010","46.92","9.52","37.31","5.88",
"19.07.2010","46.82","9.72","37.26","5.82",
"26.07.2010","45.60","9.64","38.58","5.79",
"02.08.2010","46.01","10.10","37.68","5.80",
"09.08.2010","45.87","10.31","37.57","5.84",
"16.08.2010","45.89","10.50","37.30","5.89",
"23.08.2010","45.95","10.70","37.08","5.84",
"30.08.2010","45.93","10.74","37.01","5.92",
"06.09.2010","46.20","11.07","36.38","5.95",
"13.09.2010","45.71","11.03","36.95","5.90",
"20.09.2010","45.95","11.33","36.39","5.92",
"27.09.2010","45.35","11.31","37.25","5.68",
"04.10.2010","45.31","11.47","37.12","5.70",
"11.10.2010","45.33","11.83","36.70","5.75",
"18.10.2010","45.16","12.10","36.70","5.64",
"25.10.2010","45.10","12.24","36.51","5.75",
"01.11.2010","45.09","12.62","36.16","5.72",
"08.11.2010","44.94","12.75","36.17","5.73",
"15.11.2010","44.94","12.95","36.09","5.62",
"22.11.2010","44.86","13.16","35.97","5.61",
"29.11.2010","44.80","13.34","35.83","5.63",
"06.12.2010","44.47","13.58","35.93","5.62",
"13.12.2010","44.60","14.18","35.33","5.49",
"20.12.2010","44.95","14.66","34.59","5.37",
"27.12.2010","44.93","15.06","34.16","5.42",
"03.01.2011","44.23","14.78","35.41","5.16",
"10.01.2011","44.12","15.06","35.30","5.09",
"17.01.2011","43.95","15.40","35.18","5.04",
"24.01.2011","43.94","15.94","34.65","5.05",
"31.01.2011","43.86","16.22","34.47","5.02",
"07.02.2011","43.78","16.17","34.58","5.01",
"14.02.2011","43.68","16.39","34.50","5.00",
"21.02.2011","43.69","16.67","34.21","4.98",
"28.02.2011","44.16","17.45","32.71","5.22",
"07.03.2011","43.33","17.13","33.97","5.11",
"14.03.2011","43.20","17.21","34.09","5.04",
"21.03.2011","43.26","17.56","33.62","5.08",
"28.03.2011","43.55","18.03","32.87","5.10",
"04.04.2011","43.55","18.23","32.63","5.15",
"11.04.2011","43.33","18.24","32.94","5.04",
"18.04.2011","43.79","18.72","31.94","5.07",
"25.04.2011","43.57","18.94","32.05","4.97",
"02.05.2011","43.43","19.16","32.02","4.93",
"09.05.2011","43.07","19.07","32.48","4.92",
"16.05.2011","42.92","19.43","32.26","4.91",
"23.05.2011","43.36","20.07","31.07","5.01",
"30.05.2011","42.86","19.76","32.02","4.88",
"06.06.2011","42.83","19.76","32.17","4.76",
"13.06.2011","43.14","19.91","31.72","4.73",
"20.06.2011","43.39","20.18","31.16","4.76",
"27.06.2011","43.46","20.21","31.11","4.72",
"04.07.2011","43.28","20.29","31.15","4.73",
"11.07.2011","43.05","20.83","30.83","4.74",
"18.07.2011","42.95","21.24","30.51","4.75",
"25.07.2011","42.92","21.28","30.44","4.76",
"01.08.2011","42.81","21.54","30.28","4.76",
"08.08.2011","42.71","21.81","30.07","4.79",
"15.08.2011","42.73","22.14","29.72","4.78",
"22.08.2011","42.60","22.20","29.75","4.80",
"29.08.2011","42.41","22.19","30.03","4.75",
"05.09.2011","43.00","23.33","28.06","4.94",
"12.09.2011","42.06","22.62","29.95","4.73",
"19.09.2011","42.78","23.70","27.94","4.90",
"26.09.2011","41.91","23.06","29.57","4.78",
"03.10.2011","41.82","23.25","29.55","4.71",
"10.10.2011","41.79","23.44","29.42","4.68",
"17.10.2011","41.67","23.72","29.24","4.66",
"24.10.2011","41.79","24.03","28.85","4.62",
"31.10.2011","41.94","24.45","28.24","4.68",
"07.11.2011","41.66","24.43","28.65","4.56",
"14.11.2011","41.73","24.73","28.23","4.60",
"21.11.2011","41.70","24.68","28.42","4.48",
"28.11.2011","41.66","24.88","28.22","4.49",
"05.12.2011","41.64","25.19","27.87","4.52",
"12.12.2011","41.71","25.47","27.55","4.51",
"19.12.2011","41.75","25.61","27.33","4.54",
"26.12.2011","41.83","26.78","25.89","4.67",
"02.01.2012","41.24","26.92","26.36","4.66",
"09.01.2012","40.80","26.52","27.27","4.57",
"16.01.2012","40.34","26.70","27.53","4.56",
"23.01.2012","40.35","27.26","26.91","4.60",
